fuID,sID,Description
LOC_TD.056A_2002,PP37_2008,National (Current Regulation)
LOC_TD.057A_2002,PP37_2008,National (Current Regulation)
LOC_TD.057_2002,PP37_2008,National (Current Regulation)
LOC_TD.058A_2002,PP37_2008,National (Current Regulation)
LOC_TD.058_2002,PP37_2008,National (Current Regulation)
LOC_TD.059_2002,PP37_2008,National (Current Regulation)
LOC_TD.060_2002,PP37_2008,National (Current Regulation)
LOC_TD.061A_2002,PP37_2008,National (Current Regulation)
LOC_TD.062_2002,PP37_2008,National (Current Regulation)
LOC_TD.063_2002,PP37_2008,National (Current Regulation)
LOC_TD.065_2002,PP37_2008,National (Current Regulation)
LOC_TD.066_2002,PP37_2008,National (Current Regulation)
LOC_TD.066A_2002,PP37_2008,National (Current Regulation)
LOC_TD.070_2002,PP37_2008,National (Current Regulation)
LOC_TD.070A_2002,PP37_2008,National (Current Regulation)
LOC_TD.071_2002,PP37_2008,National (Current Regulation)
LOC_TD.072_2002,PP37_2008,National (Current Regulation)
LOC_TD.072A_2002,PP37_2008,National (Current Regulation)
LOC_TD.074_2002,PP37_2008,National (Current Regulation)
LOC_TD.076B_2002,PP37_2008,National (Current Regulation)
LOC_TD.077_2002,PP37_2008,National (Current Regulation)
LOC_TD.078_2002,PP37_2008,National (Current Regulation)
LOC_TD.079_2002,PP37_2008,National (Current Regulation)
LOC_TD.080_2002,PP37_2008,National (Current Regulation)
LOC_TD.080A_2002,PP37_2008,National (Current Regulation)
LOC_TD.081_2002,PP37_2008,National (Current Regulation)
LOC_TD.082_2002,PP37_2008,National (Current Regulation)
LOC_TD.082A_2002,PP37_2008,National (Current Regulation)
LOC_TD.082B_2002,PP37_2008,National (Current Regulation)
LOC_TD.082C_2002,PP37_2008,National (Current Regulation)
LOC_TD.083_2002,PP37_2008,National (Current Regulation)
LOC_TD.085_2002,PP37_2008,National (Current Regulation)
LOC_TD.086_2002,PP37_2008,National (Current Regulation)
LOC_TD.088A_2002,PP37_2008,National (Current Regulation)
LOC_TD.088E_2002,PP37_2008,National (Current Regulation)
LOC_TD.088F_2002,PP37_2008,National (Current Regulation)
LOC_TD.090_2002,PP37_2008,National (Current Regulation)
LOC_TD.091_2002,PP37_2008,National (Current Regulation)
LOC_TD.092_2002,PP37_2008,National (Current Regulation)
LOC_TD.093_2002,PP37_2008,National (Current Regulation)
LOC_TD.094_2002,PP37_2008,National (Current Regulation)
LOC_TD.097A_2002,PP37_2008,National (Current Regulation)
LOC_TD.098_2002,PP37_2008,National (Current Regulation)
LOC_TD.099_2002,PP37_2008,National (Current Regulation)
LOC_TD.099A_2002,PP37_2008,National (Current Regulation)
LOC_TD.100_2002,PP37_2008,National (Current Regulation)
LOC_TD.100A_2002,PP37_2008,National (Current Regulation)
LOC_TD.100B_2002,PP37_2008,National (Current Regulation)
LOC_TD.101_2002,PP37_2008,National (Current Regulation)
LOC_TD.101A_2002,PP37_2008,National (Current Regulation)
LOC_TD.102_2002,PP37_2008,National (Current Regulation)
LOC_TD.103_2002,PP37_2008,National (Current Regulation)
LOC_TD.104_2002,PP37_2008,National (Current Regulation)
LOC_TD.105B_2002,PP37_2008,National (Current Regulation)
