fuID,Label,Status,ReleasibilityType,LocationTypeList,InterpolationRole,PointType,StartLifeSpan,EndLifeSpan,HorizontalDatum,VerticalDatum
LOC_TD.158_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.159_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.161_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.161B_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.162_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.164B_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.164_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.167_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.168_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.170_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.171_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.171C_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.174_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.175_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.176A_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.177_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.177A_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.178_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.179_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.180_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.181_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.181A_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.182_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.183_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.184_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.185_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.186_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.186A_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.187_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
LOC_TD.188_2002,Reference Point of Determination Maritime Limit and Boundaries,Active,Official,Baseline Point,deflection,defined,2026:04:24,,WGS84,MLWS
