fuID,Label,Status,ReleasibilityType,LocationTypeList,InterpolationRole,PointType,StartLifeSpan,EndLifeSpan,HorizontalDatum,VerticalDatum
LOC_TS_2051,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2052,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2053,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2054,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2055,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2056,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2057,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2058,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2059,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2060,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2061,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2062,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2063,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2064,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2065,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2066,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2067,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2068,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2069,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2070,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2071,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2072,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2073,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2074,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2075,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2076,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2077,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2078,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2079,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2080,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2081,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2082,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2083,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2084,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2085,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2086,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2087,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2088,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2089,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2090,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2091,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2092,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2093,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2094,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2095,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2096,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2097,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2098,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2099,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2100,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2101,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2102,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2103,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2104,Outer Limit Point of Territorial Sea,Unilateral,Internal,Limit Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2105,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2106,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2107,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2108,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2109,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2110,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2111,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2112,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2113,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2114,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2115,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2116,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2117,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2118,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2119,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2120,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2121,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2122,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2123,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2124,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2125,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2126,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2127,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2128,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2129,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2130,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2131,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2132,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2133,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2134,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2135,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2136,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2137,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2138,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2139,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2140,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2141,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2142,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2143,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2144,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2145,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2146,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2147,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2148,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2149,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2150,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2151,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2152,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2153,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2154,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2155,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2156,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2157,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2158,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2159,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2160,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2161,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2162,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2163,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2164,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2165,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2166,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2167,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2168,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2169,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2170,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2171,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2172,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2173,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2174,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2175,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2176,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2177,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2178,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2179,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2180,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2181,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2182,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2183,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2184,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2185,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2186,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2187,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2188,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2189,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2190,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2191,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2192,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2193,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2194,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2195,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2196,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2197,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2198,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2199,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2200,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2201,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2202,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2203,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2204,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2205,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2206,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2207,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2208,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2209,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2210,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2211,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2212,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2213,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2214,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2215,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2216,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2217,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2218,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2219,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2220,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2221,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2222,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2223,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2224,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2225,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2226,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2227,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2228,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2229,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2230,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2231,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2232,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2233,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2234,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2235,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2236,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2237,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2238,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2239,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2240,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2241,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2242,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2243,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2244,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2245,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2246,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2247,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2248,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2249,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2250,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2251,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2252,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2253,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2254,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2255,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2256,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2257,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2258,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2259,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2260,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2261,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2262,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2263,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2264,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2265,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2266,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2267,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2268,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2269,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2270,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
LOC_TS_2271,Boundary Point of Territorial Sea,Need Agreement,Internal,Boundary Point,densification,computed,2026:04:24,,WGS84,
